gov_name,state,pop_tot,rev_fines,rev_prop_tax,rev_tot,rev_gen_ownsource
WALDO CITY,FL,846,503940.00000000006,160950.00000000003,1693860.0000000002,1396380
LAWTEY CITY,FL,1079,231990,22200.000000000004,1138860.0000000002,502830.00000000006
COCOA BEACH CITY,FL,11466,1324230,7022970,24070350.000000004,19124190.000000004
BAL HARBOUR VILLAGE,FL,2917,1054500,6459090,19350630,16625580.000000002
GOLDEN BEACH TOWN,FL,635,878010.0000000001,5889660.000000001,11397480.000000002,8642460.000000002
MEDLEY TOWN,FL,898,102120,11056710.000000002,25336860,16883100.000000004
NORTH BAY VILLAGE CITY,FL,7861,1318680,3796200.0000000005,16171590.000000002,10660440
NORTH MIAMI BEACH CITY,FL,43722,5410140,13932720.000000002,118282710,65387880.00000001
DUNNELLON CITY,FL,1910,538350,1124430,9472740.000000002,4114770.0000000005
PALM BEACH TOWN,FL,8501,1454100.0000000002,40664850.00000001,81626070,69172980.00000001
PORT RICHEY CITY,FL,2731,2009100.0000000002,1821510.0000000002,9588180,7486950.000000001
KENNETH CITY TOWN,FL,5048,732600,614940,3111330.0000000005,2216670
PEARSON CITY,GA,2000,216450.00000000003,251970.00000000003,1682760.0000000002,1028970
EMERSON CITY,GA,1649,268620,2220,2242200.0000000005,975690
ALAPAHA TOWN,GA,763,123210.00000000001,95460.00000000001,874680.0000000001,458430.00000000006
RAY CITY CITY,GA,1095,117660.00000000001,103230,1485180,598290.0000000001
HOBOKEN CITY,GA,656,51060,41070,359640.00000000006,230880.00000000003
PEMBROKE CITY,GA,2488,486180.00000000006,387390.00000000006,3819510,1893660
KINGSLAND CITY,GA,16411,1864800.0000000002,4357860.000000001,21401910.000000004,13312230.000000002
WHITESBURG CITY,GA,609,109890.00000000001,145410.00000000003,1025640.0000000001,517260
GARDEN CITY CITY,GA,8889,1325340.0000000002,0,14355630.000000002,6472410.000000001
TYBEE ISLAND CITY,GA,3068,874680.0000000001,1974690.0000000002,17755560,13005870
PORT WENTWORTH CITY,GA,7052,902430.0000000001,1430790.0000000002,11057820.000000002,6973020
BLOOMINGDALE CITY,GA,2703,671550.0000000001,2220,4223550,1847040.0000000002
CUSSETA-CHATTAHOOCHEE COUNTY UNIFIED GOVERNMENT,GA,11882,418470,407370.00000000006,3559770.0000000005,1744920
WINTERVILLE CITY,GA,1050,103230,137640.00000000003,742590,412920
FOREST PARK CITY,GA,19156,3710730.0000000005,8586960.000000002,33225630.000000004,20456190.000000004
JONESBORO CITY,GA,4671,895770.0000000001,76590,5833050,2463090
LAKE CITY CITY,GA,2712,656010.0000000001,586080,4373400.000000001,2203350.0000000005
MORROW CITY,GA,7069,4074810.0000000005,2181150,17955360,12130080.000000002
RIVERDALE CITY,GA,15812,3321120.0000000005,2476410.0000000005,17776650,11083350
DOERUN CITY,GA,723,88800.00000000001,71040,2481960,742590
ADEL CITY,GA,5304,1106670,873570,23290020,5245860.000000001
LENOX TOWN,GA,835,357420,4440,1125540.0000000002,754800.0000000001
SPARKS TOWN,GA,2438,342990,170940.00000000003,1652790.0000000002,1096680
SENOIA CITY,GA,3889,402930.00000000006,803640.0000000001,5596620.000000001,3328890.0000000005
ROBERTA CITY,GA,876,118770.00000000001,74370,3564210.0000000005,622710
AVONDALE ESTATES CITY,GA,3095,515040.00000000006,2014650,4004880.0000000005,4000440.0000000005
CLARKSTON CITY,GA,12594,1007880.0000000001,960150.0000000001,4135860.0000000005,3547560.0000000005
DORAVILLE CITY,GA,10348,2453100.0000000005,3250080.0000000005,11911410.000000002,10982340
LITHONIA CITY,GA,2093,340770.00000000006,374070.00000000006,1169940,1092240
PINE LAKE CITY,GA,644,269730,415140.00000000006,2671770.0000000005,1006770.0000000001
STONE MOUNTAIN CITY,GA,6102,1040070.0000000001,1132200,4710840,4179150.0000000005
HAGAN CITY,GA,1094,106560,57720.00000000001,777000.0000000001,415140.00000000006
COLLEGE PARK CITY,GA,14434,2648460,11111100,111762570,73378770
EAST ELLIJAY CITY,GA,779,283050,0,1524030.0000000002,966810.0000000001
FAIRMOUNT CITY,GA,928,115440.00000000001,136530,1135530.0000000002,537240
WHIGHAM CITY,GA,713,97680,58830.00000000001,1386390,371850
LAWRENCEVILLE CITY,GA,30127,7301580.000000001,1935840.0000000002,101396280.00000001,18600270
SNELLVILLE CITY,GA,19395,2291040.0000000005,4391160.000000001,18417120.000000004,13565310.000000002
OAKWOOD CITY,GA,4098,876900.0000000001,680430.0000000001,4112550,3013650
BUCHANAN CITY,GA,1367,219780.00000000003,317460.00000000006,1913640,1050060.0000000002
ARCADE CITY,GA,1442,146520,0,1008990.0000000001,401820.00000000006
BRASELTON TOWN,GA,8409,1423020.0000000002,2220,13216770,6491280.000000001
MILLEN CITY,GA,2972,310800,390720,5756460.000000001,2253300
MIDWAY CITY,GA,2002,225330,0,1792650,1092240
LUDOWICI CITY,GA,2684,441780.00000000006,213120,2259960,1353090.0000000002
LAKE PARK CITY,GA,905,88800.00000000001,147630.00000000003,581640.0000000001,407370.00000000006
REMERTON CITY,GA,1245,559440,155400,2077920,1425240.0000000002
GREENVILLE CITY,GA,1065,331890.00000000006,279720,2778330.0000000005,1215450
FORSYTH CITY,GA,4059,501720,714840,19407240,5754240.000000001
HIRAM CITY,GA,3751,979020.0000000001,0,4163610.0000000005,2662890.0000000005
BYRON CITY,GA,4956,944610.0000000001,1753800.0000000002,10027740.000000002,5667660.000000001
JASPER CITY,GA,3732,392940.00000000006,1222110.0000000002,8349420,4695300
ARAGON CITY,GA,988,214230.00000000003,227550,949050.0000000001,638250
CLAYTON CITY,GA,1872,412920,876900.0000000001,5284710,3496500.0000000005
MOUNTAIN CITY TOWN,GA,970,230880.00000000003,0,409590.00000000006,378510.00000000006
BLYTHE CITY,GA,719,67710.00000000001,0,517260,214230.00000000003
SYLVANIA CITY,GA,2535,276390.00000000006,291930,45825240.00000001,2342100.0000000005
LUMPKIN CITY,GA,1123,158730.00000000003,180930,2208900,946830
COOLIDGE CITY,GA,592,59940.00000000001,180930,880230.0000000001,580530.0000000001
MEIGS CITY,GA,918,92130.00000000001,128760.00000000001,1417470,663780.0000000001
PAVO CITY,GA,541,57720.00000000001,115440.00000000001,583860,421800
OMEGA CITY,GA,1111,112110.00000000001,0,1361970,623820
HOGANSVILLE CITY,GA,3114,749250.0000000001,566100,8363850,2331e3
ASHBURN CITY,GA,3782,1363080.0000000002,702630.0000000001,7502490.000000001,4398930
BLAIRSVILLE CITY,GA,729,114330.00000000001,139860,8556990.000000002,3871680.0000000005
LOGANVILLE CITY,GA,11072,1253190,4116990.0000000005,17677860,11660550.000000002
SCREVEN CITY,GA,844,119880.00000000001,68820.00000000001,937950,386280.00000000006
WEBSTER COUNTY UNIFIED GOVERNMENT,GA,2672,501720,2656230,5824170,4582080.000000001
TUNNEL HILL CITY,GA,1056,346320.00000000006,0,832500.0000000001,607170.0000000001
MCINTYRE TOWN,GA,774,83250.00000000001,198690.00000000003,1873680,1252080.0000000002
POULAN CITY,GA,867,503940.00000000006,62160.00000000001,1166610.0000000002,803640.0000000001
AUTAUGAVILLE TOWN,AL,1023,87690.00000000001,0,545010.0000000001,263070.00000000006
ELBERTA TOWN,AL,1400,160950.00000000003,883560.0000000001,2407590,1995780.0000000002
SUMMERDALE TOWN,AL,910,594960,916860.0000000001,2772780,2440890.0000000005
LOXLEY TOWN,AL,1837,375180,285270.00000000006,5483400.000000001,3538680.0000000005
SNEAD TOWN,AL,710,195360,48840,1902540.0000000002,949050.0000000001
OHATCHEE TOWN,AL,999,320790,47730.00000000001,1601730.0000000002,1385280.0000000002
MAPLESVILLE TOWN,AL,786,152070.00000000003,71040,915750.0000000001,848040.0000000001
GROVE HILL TOWN,AL,1583,218670.00000000003,172050,1351980,1290930
LITTLEVILLE TOWN,AL,1045,180930,29970.000000000004,1500720,881340
FLORALA TOWN,AL,1912,239760.00000000003,207570.00000000003,4442220,2705070
BRANTLEY TOWN,AL,903,400710.00000000006,12210,774780.0000000001,682650.0000000001
HANCEVILLE CITY,AL,3223,525030.0000000001,125430,5857470,3362190.0000000005
HOLLYWOOD TOWN,AL,1114,222000.00000000003,4440,679320,636030.0000000001
ADAMSVILLE CITY,AL,4422,318570.00000000006,197580,858030.0000000001,858030.0000000001
NOTASULGA TOWN,AL,951,134310,25530,1026750,641580
GRANT TOWN,AL,961,136530,559440,858030.0000000001,849150.0000000001
GUNTERSVILLE CITY,AL,8360,1047840.0000000001,826950,20834700,17584620.000000004
MT VERNON TOWN,AL,1329,289710.00000000006,44400.00000000001,1586190,1360860.0000000002
SOMERVILLE TOWN,AL,751,88800.00000000001,0,1486290.0000000002,547230
REFORM TOWN,AL,1763,190920.00000000003,270840.00000000006,1951380,1232100.0000000002
WEDOWEE TOWN,AL,742,82140,24420,1652790.0000000002,1532910
HARPERSVILLE TOWN,AL,1760,884670.0000000001,101010,1740480.0000000002,1720500.0000000002
PARRISH TOWN,AL,914,165390.00000000003,83250.00000000001,3284490.0000000005,1901430
SUMITON CITY,AL,2735,489510.00000000006,135420.00000000003,5115990.000000001,2899320
